items	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index
GC_00000001	0.657416061902749	0.729060596319469	0.691387256003838
GC_00000002	0.644881465211444	0.749371564147458	0.693211091673098
GC_00000003	0.998852947923836	0.80687813771987	0.892660721061333
GC_00000004	0.81843273215744	0.600997442544721	0.693061184252646
GC_00000005	0.966975715140483	0.755181066088144	0.84805490348
GC_00000006	0.739806947282731	0.95863707128505	0.835124805417481
GC_00000007	0.873050883583476	0.606261073251817	0.715598577080517
GC_00000008	0.757354768761356	0.913628259838786	0.828184018174875
GC_00000009	0.951979542094721	0.794040385327766	0.865866638240416
GC_00000010	0.772358056498717	0.917783555869391	0.838814355330336
GC_00000011	0.771455386925643	0.948900844636491	0.851026845281229
GC_00000012	0.75308577074362	0.96154798348118	0.844644639081285
GC_00000013	0.756709037322729	0.98940216598395	0.857550835398015
GC_00000014	0.770374598881579	0.916327085723997	0.837036113204599
GC_00000015	0.591406123124586	0.739249197342309	0.657114573697079
GC_00000016	1.0	1.0	1.0
GC_00000017	0.930589294660871	0.814384348118595	0.868617539565113
GC_00000018	0.781539584490854	0.927228218251383	0.848173233668653
GC_00000019	0.814876539468988	0.997723707281061	0.89707771296301
GC_00000020	0.880761557015699	0.707915254214325	0.784935661085439
GC_00000021	0.780670051460837	0.880330423392134	0.827510415965307
GC_00000022	0.99484495455777	0.850920544772807	0.917271463795154
GC_00000023	0.951847277635705	0.708344644316305	0.812238527853524
GC_00000024	0.834317605144998	0.98830661642876	0.904807035490646
GC_00000025	0.795303554156528	0.847964553067121	0.820790253140656
GC_00000026	0.794917243494845	0.952934676120036	0.866783046631204
GC_00000027	0.86058082414088	0.955830855716018	0.905708452189845
GC_00000028	0.823628801387404	0.916557508925747	0.86761188500936
GC_00000029	0.912241315679978	0.94915293016933	0.930331142615204
GC_00000030	0.81566807803105	0.945603322218575	0.875842807990278
GC_00000031	0.856654270268793	0.965112712630823	0.907654968309907
GC_00000032	0.901404936706272	0.951898222699834	0.925963734350422
GC_00000033	0.790892576502716	0.856948267517329	0.82259646092141
GC_00000034	0.82225704708876	0.945663192074092	0.879653059714474
GC_00000035	0.889057750759878	1.0	0.941271118262269
GC_00000036	0.831678486997636	1.0	0.908105317501291
GC_00000037	0.810939326320264	0.988865365842184	0.891107593051127
GC_00000038	0.854634943408258	0.767480183562788	0.808716190781014
GC_00000039	0.835604921536396	0.979078211409053	0.901669891750793
GC_00000040	0.806968926715635	0.954854362020389	0.87470497707195
GC_00000041	0.885234679316595	0.995105905945187	0.9369603192528
GC_00000042	0.897391202655132	0.998111702127662	0.945075482075446
GC_00000043	0.824927963294729	0.989756288293966	0.8998564222351
GC_00000044	0.804021389844425	1.0	0.891365694853277
GC_00000045	0.85627460697668	0.990797414201671	0.918637342465735
GC_00000046	0.881853410296524	0.967494089834514	0.92269080040592
GC_00000047	0.807127125060224	0.990816055709672	0.88958819506856
GC_00000048	0.923282082152382	0.964571923617504	0.943475471409786
GC_00000049	0.810906508277779	0.956062766358454	0.877522355018578
GC_00000050	0.842261163512976	0.966252605432273	0.9000064668277
GC_00000051	0.847347151262527	0.978692215133713	0.908295928025916
GC_00000052	0.841620098026776	0.902214684232291	0.87086462399965
GC_00000053	0.702509188218756	0.698625648596046	0.700562036384342
GC_00000054	0.910702208540311	0.97324130652171	0.940933738411791
GC_00000055	0.832665860374545	0.930800348391362	0.879002579213135
GC_00000056	0.888093653807661	1.0	0.940730510922135
GC_00000057	0.8233931784989	0.919511938816385	0.868802151589241
GC_00000058	0.862663784310568	0.9679532850557	0.912280627003076
GC_00000059	0.804033103146537	0.939780715796824	0.866623256440585
GC_00000060	0.803266274626525	0.957967826508725	0.873822789049711
GC_00000061	0.833106912238492	0.977184312087667	0.899412198426009
GC_00000062	0.826818914641542	0.932954630968587	0.876686136476499
GC_00000063	0.825338709171925	0.999740666146911	0.904206887725336
GC_00000064	0.649124348672284	0.702470815694468	0.674744809275194
GC_00000065	0.944571205683921	0.984275956955435	0.964014926008861
GC_00000066	0.788362592049	0.682113398506553	0.731399479313923
GC_00000067	0.756842430411027	0.671086961748749	0.711389638641521
GC_00000068	0.718103620490791	0.69430023888848	0.706001349320238
GC_00000069	0.683742159710473	0.7175980529091	0.700261132994829
GC_00000070	0.678941116154606	0.716138501114754	0.697043906669392
GC_00000071	0.740436768538046	0.685220470406096	0.711759344369995
GC_00000072	0.927142497897174	0.702676855436351	0.79945249592391
GC_00000073	0.831188277984475	0.768442391707371	0.798584723830739
GC_00000074	0.743054008587911	0.681019136422784	0.710685404070627
GC_00000075	0.848242793478874	0.903089044117235	0.874807112047526
GC_00000076	0.966031713865951	0.811070737541326	0.881795029918621
GC_00000077	0.699381537019827	0.693681358266754	0.696519785557563
GC_00000078	0.783569662411061	0.857917310046576	0.819059777249801
GC_00000079	0.901676114785379	0.995827174399516	0.946415832560662
GC_00000080	0.830603416146496	0.925954615633216	0.875691042398782
GC_00000081	0.806747915748944	0.994776627560313	0.890949805708286
GC_00000082	0.746925277174388	0.644409248545835	0.691890480234693
GC_00000083	0.811927608188465	0.985233550028313	0.890224358704984
GC_00000084	0.829559841254223	0.961905739318001	0.890844212764932
GC_00000085	0.815202871709721	0.942242606531431	0.874131104721846
GC_00000086	0.807178492623279	0.896293535278402	0.849405042060094
GC_00000087	0.904808839373413	0.933921024907071	0.919134468883238
GC_00000088	0.954404263592488	0.663443126921388	0.782759798850723
GC_00000089	0.701966811034012	0.921677845561817	0.796956717618516
GC_00000090	0.81857938000601	0.971447888989546	0.888486141469149
GC_00000091	0.806859158948816	0.930478843394694	0.8642709432343
GC_00000092	0.995456831403251	0.938570100963002	0.966176843888467
GC_00000093	0.853233474037949	0.946139505269438	0.897288006754804
GC_00000094	0.910898295130429	0.913269043607481	0.912082128817214
GC_00000095	0.894181929148858	0.828960115702214	0.860336682818427
GC_00000096	0.959593870757154	0.749104455143346	0.841384383441236
GC_00000097	0.760011205079636	0.87428962944137	0.813154959998674
GC_00000098	0.663188351854806	0.692086449801907	0.677329308305741
GC_00000099	0.906177601007057	0.647560410913208	0.755345798540699
GC_00000100	0.818194931961341	0.921320548072151	0.866700885156785
GC_00000101	0.987033956607009	0.732924782938891	0.841208142691264
GC_00000102	0.821822517458695	0.856240681756572	0.838678630174126
GC_00000103	0.95764576965578	0.708109863718799	0.814187149489711
GC_00000104	0.937509605201758	0.955399403032804	0.946369966280268
GC_00000105	0.990485349746746	0.791549908531943	0.879913665402523
GC_00000106	0.916141148024763	0.991095867793064	0.952145641671275
GC_00000107	0.540032311889186	0.727867143864821	0.62003619398313
GC_00000108	0.945616927089379	0.685060071350394	0.794522030005707
GC_00000109	0.658929246727053	0.660193471159383	0.659560753137786
GC_00000110	0.986819505387598	0.830765828178158	0.902093462701271
GC_00000111	0.967028724658549	0.833002319701826	0.895025864562364
GC_00000112	0.971236664611475	0.839242444414859	0.900427989972474
GC_00000113	0.827325374594282	0.735648455833486	0.778798240179839
GC_00000114	0.787065333431126	0.694205241331679	0.737724611623836
GC_00000115	0.977714431949045	0.829729281416903	0.897663686069949
GC_00000116	0.996727880262602	0.99941985813901	0.998072054018305
GC_00000117	0.851461469369204	0.983308491612658	0.912647700710864
GC_00000118	0.951256461063947	0.911821790145608	0.931121780474634
GC_00000119	0.901678904330193	0.887974081449778	0.894774018423797
GC_00000120	0.966989211067904	0.845254490813385	0.902033178401719
GC_00000121	0.689574148603921	0.698995025103137	0.694252628447821
GC_00000122	0.835943365395656	0.880712344283812	0.857744085636804
GC_00000123	0.935513295692034	0.749652375829137	0.832333314863005
GC_00000124	0.899005863493884	0.977788198586215	0.936743504835976
GC_00000125	0.915000107450626	0.992357934553134	0.952110297856504
GC_00000126	0.839391871538088	0.720988129213797	0.775697682418252
GC_00000127	0.929474019704341	0.965875848693357	0.947325369937432
GC_00000128	0.925343320848939	0.736965405892699	0.820480582299832
GC_00000129	0.998392348392348	1.0	0.999195527540453
GC_00000130	0.93364663757413	0.934295235931227	0.933970824147507
GC_00000131	0.986012396199775	0.998177009994828	0.992057413857595
GC_00000132	0.949272115174704	0.866414964985206	0.905952986522422
GC_00000133	0.887843626308084	0.718915883610503	0.794499588986495
GC_00000134	0.99128243569204	0.866917765566437	0.924938393197236
GC_00000135	0.909527509588679	0.984911138244471	0.945719488734313
GC_00000136	0.907702612190221	0.79875241070687	0.849749498185966
