key	ANYA_13997	ANYA_14430	ANYA_18196	AV0110	AV040	AV1708_29120	AV183026	C4	D3	FC951	FDAARGOS_632	Hm21	Hm22	Ho04_635	Hv98_225	Hv98_231	Hv98_232	Hv98_241	Hv98_571	KMM289	KMM358	KMM366	ZfB1	b1_3
ANYA_13997	1.0	0.8971536240323627	0.8243815569207148	0.8248815636355928	0.8151023353843344	0.8091052122149041	0.8469697127651151	0.8439458212239375	0.8194665814696966	0.8080940500585629	0.8164633445951636	0.8521922963096673	0.8588594972637147	0.8508214386701128	0.8129131019021905	0.8510151469300207	0.8488673535897877	0.8478389143971898	0.8543845586743273	0.8316765368788075	0.8359361794277456	0.8358649324546397	0.8360183652655596	0.8111701540977284
ANYA_14430	0.8946170776067168	1.0	0.8148580636755864	0.819254256458035	0.8148528262760381	0.8095745400940003	0.845821970165885	0.8518604563263443	0.8179135300604099	0.8032322594084254	0.8213242016846319	0.8564066078779007	0.8539959820609202	0.850114149900622	0.8155975188894601	0.8501746427802022	0.8483776168565579	0.8501968936599583	0.8493322814255092	0.8226574956569517	0.8319663669993008	0.8320269832321593	0.8319452578232026	0.8097992887949723
ANYA_18196	0.8458254736766246	0.8341572302320573	1.0	0.8667057793624237	0.8651008142492709	0.851921874172416	0.8460032651054	0.8500253610379505	0.8443327541839041	0.8288029095729671	0.8704295026967377	0.8542066263369578	0.8487850951024137	0.8509551933911134	0.8514261725893771	0.8480570493202959	0.8457856503889412	0.8479643092795722	0.8454574637692756	0.8413460263328782	0.8446982344146928	0.8446779389042627	0.8347955073022129	0.8369486994965785
AV0110	0.8066208727289698	0.8054878907415205	0.8282297192342718	1.0	0.8373059838704928	0.8156981149322456	0.8146403631490607	0.8238750626989098	0.8272704940799215	0.7999004186648674	0.852159312043683	0.8210026485199263	0.8181813959777768	0.824123992477502	0.8311773269308557	0.8171932205276893	0.814934011266233	0.821071391801075	0.8146964639270563	0.8291907810751118	0.8115698106307973	0.8117051954320446	0.7963229607883272	0.8215936318660271
AV040	0.8340634997964929	0.8330741543567765	0.8599200948201977	0.8675583714702719	1.0	0.8392249516296675	0.838374652426541	0.8463072280074446	0.8549503117600796	0.8208264853143192	0.8644416482967328	0.8413660645269486	0.8490405467551841	0.8430071111138369	0.8532665882463611	0.8377320129365641	0.8363112075941326	0.8455759829687963	0.8450254723262999	0.848985280469475	0.8405200059252907	0.840510763371423	0.827296548129923	0.859649273888801
AV1708_29120	0.8223954504362313	0.8231262966819989	0.8413670778774682	0.844185273260491	0.841082934669512	1.0	0.8264645296697061	0.8319495355409443	0.8315847200900243	0.8067905898212723	0.8426192381047917	0.8308629933085331	0.8316998449887018	0.827705905892858	0.8305234433240282	0.8244007994171306	0.8223430865196879	0.8296024705433654	0.8283856030020811	0.8267792476111975	0.8253435742878452	0.8253350037586876	0.814841820692397	0.8482908210243937
AV183026	0.8506832604347115	0.8508921809076794	0.8307319008219604	0.8356857191287462	0.829088649960124	0.820050446932931	1.0	0.8611989443371716	0.8336929189716408	0.8114985105216945	0.8313516696838524	0.8541068804642978	0.8560414004929505	0.8469944279109676	0.8324836913923709	0.849462120779811	0.8461927239197331	0.8473231662922395	0.8526811889745709	0.8345102095518244	0.8481098155952039	0.8483129355594463	0.8350033357548343	0.8217844423668537
C4	0.7853252942571439	0.7956463375369307	0.7739901970407261	0.778635976417582	0.7715248904300253	0.760628149866553	0.7991594092854779	1.0	0.772450624436491	0.7561496204213295	0.7805595984306816	0.8102187799123177	0.8141384867039344	0.8039332131240776	0.7778713398633882	0.8040611521144329	0.8020067432197379	0.8107496056465062	0.8100913817786638	0.8003570252383172	0.8054930892786164	0.8054996761625407	0.784956032449896	0.7731280800982336
D3	0.8164997092371329	0.8191905727893715	0.8201652258932361	0.8412241467960263	0.8352041670479304	0.8141045756461711	0.82728401259189	0.8297277353950445	1.0	0.818719081630868	0.830343802318747	0.828846836280862	0.8285129080077548	0.8266878778330218	0.8198785502444774	0.8245775129589503	0.8215728906713059	0.8219045374259736	0.8251969680404344	0.8276704821522193	0.8222601891032686	0.8222171956976719	0.8153628535343179	0.8196904681973876
FC951	0.7622288769640923	0.7587740443165387	0.7635891432697581	0.7708511112235046	0.7629742672943245	0.7495098666226554	0.7626524394537436	0.7681520018473162	0.777831965658295	1.0	0.767319588842478	0.7692357438016124	0.7664915444691652	0.7679611322822587	0.7567476104235827	0.7614064325194985	0.7595197634728795	0.7663260194589748	0.763352481307823	0.7716906668330461	0.7630038419257696	0.7626749553131653	0.7873999634528034	0.7501454707827084
FDAARGOS_632	0.8219705745155103	0.8265410806198568	0.8566306072339647	0.8717564907004185	0.8527024435716933	0.8322461393452925	0.8324367101623902	0.8418751526724472	0.8323609970991876	0.8187702923542924	1.0	0.8406146125759616	0.8377931910153765	0.8431253144783252	0.852246160148675	0.8377564385668546	0.8356602859510776	0.8415886688370886	0.8346453764300235	0.8435108610281179	0.8290144383165283	0.8290590717213704	0.8225906865913752	0.8302733030178764
Hm21	0.8157991143442418	0.8227757024534631	0.799921343860905	0.8018206644183065	0.7946861504919234	0.785902411857766	0.816942412394389	0.8354960835389954	0.7971370417160072	0.7817073711738236	0.8051517122384929	1.0	0.8754078299791177	0.8960347631252779	0.8071100331646434	0.9097758732405302	0.907859272400917	0.8879110949586406	0.8701895109524078	0.8181612911935248	0.8242761598571896	0.8242553927609898	0.7935274384415708	0.7931230623754086
Hm22	0.7929442256612353	0.7936744811785115	0.7671877447604025	0.7716904686919387	0.7715716797293704	0.7577304154532557	0.786643133129941	0.8098958557794855	0.7670326677605129	0.7485213168855547	0.7747982724838594	0.8472655808890848	1.0	0.8433800317472729	0.7994356281694726	0.8476044932678167	0.8453244135344153	0.868017661694745	0.9931182102643511	0.800208608780606	0.7975541780782957	0.7974506766195619	0.7761769241334447	0.7743956916442525
Ho04_635	0.8232776495185814	0.8274635588720263	0.8059653858510616	0.8147751322564671	0.8030050676473472	0.789703134594424	0.8167588544526609	0.8340590961699255	0.8043675435051252	0.7866622761104105	0.8163890221440211	0.9089998125441658	0.8817768984885352	1.0	0.8227274382723937	0.9112170470446772	0.9082899936988525	0.9003176499999159	0.8789781376967493	0.8304861168552967	0.8273382101681669	0.8270999951607797	0.7984602648733607	0.7988789006088922
Hv98_225	0.7644611837245527	0.7717042384715195	0.7828871159532261	0.7968016482712029	0.7893182723947947	0.7694171532222226	0.777106859518443	0.7878438432341014	0.775105008421958	0.7534085168191521	0.7968903417100449	0.7930383000506432	0.8117070669602349	0.7979352653352382	1.0	0.7969799293483348	0.7941169465287383	0.7990487603147606	0.8095661917758301	0.7908441871657007	0.7771887170753107	0.7771323024390724	0.7601125266580886	0.7784602086844249
Hv98_231	0.8389130399783539	0.8430680231330008	0.8203093571351031	0.8265739270814164	0.8142507000163258	0.803525776890452	0.835865792804381	0.8528775812644295	0.8179876857700024	0.7992188656629489	0.8291741739415626	0.9405094777497159	0.9038631594845322	0.929398853468123	0.8383262568502213	1.0	0.9928469875493785	0.9160636377009376	0.9001373870728399	0.842880981408862	0.8458693296552023	0.845531404660206	0.8124347127931835	0.8141206061025374
Hv98_232	0.83836903641421	0.8428222056841069	0.8205762290346363	0.8262060955768916	0.8146760001261905	0.8022295247928272	0.8351488090997284	0.8529674948597683	0.8186507699904458	0.7999058219057947	0.828303885040391	0.9416274714882166	0.9016337773940042	0.9298119480490334	0.8374713672875425	0.9977329299705945	1.0	0.9148355245326972	0.8985247848116116	0.8428015467768345	0.8463831100350843	0.8461628071910527	0.8137428783130862	0.8118655554680326
Hv98_241	0.7899285684794224	0.7967478382426036	0.7734335922957315	0.7805676436448125	0.7727737836277846	0.7595768138370812	0.7849393572595176	0.8133145846812255	0.7670021682708493	0.7541028482963029	0.7835872916780638	0.8671593917157244	0.8779092922607754	0.8714267678625446	0.795499302174079	0.8677496932267833	0.8645661382504866	1.0	0.8756378775798846	0.8080733478753005	0.8057263556562246	0.8055946775712798	0.7724136218110732	0.7780140937367092
Hv98_571	0.7869836031978933	0.7871384784611586	0.7612920177007986	0.7657372776316512	0.7672226771752174	0.7508859585290356	0.779805003124637	0.8037600662510136	0.7615434962469955	0.7443819929930171	0.769966838897634	0.840267287588712	0.9928534691591944	0.8384355683283345	0.7948084969736642	0.8427434772894579	0.839804982294494	0.8643760388570799	1.0	0.7946742829544876	0.7917935069547691	0.791742029509762	0.7713376125876693	0.7688452536205761
KMM289	0.8009215278572529	0.7958744142537529	0.7957523855435682	0.8143362162897191	0.8027660045390717	0.7857506418282145	0.8026004717786488	0.8289518276663138	0.8000449784375147	0.7885797079804638	0.8096718090761275	0.825451882125888	0.8361954105364109	0.8251581861374057	0.8094314444080132	0.8249540147029818	0.8228251730109624	0.8370722570453961	0.8329383757788817	1.0	0.8415579951710952	0.841337494179197	0.804133580143858	0.8092223539266754
