gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	c_1	69	1371	f	0	1	Prodigal	002006
2	c_1	1454	2558	f	0	1	Prodigal	002006
3	c_1	2560	3664	f	0	1	Prodigal	002006
4	c_1	3660	6072	f	0	1	Prodigal	002006
5	c_1	6191	6569	r	0	1	Prodigal	002006
6	c_1	6635	7340	r	0	1	Prodigal	002006
7	c_1	7405	8365	r	0	1	Prodigal	002006
8	c_1	8456	9227	r	0	1	Prodigal	002006
9	c_1	9507	9921	f	0	1	Prodigal	002006
10	c_1	10012	10453	f	0	1	Prodigal	002006
11	c_1	10525	11776	r	0	1	Prodigal	002006
12	c_1	11827	11941	r	0	1	Prodigal	002006
13	c_1	12069	12303	f	0	1	Prodigal	002006
14	c_1	12232	13057	r	0	1	Prodigal	002006
15	c_1	13149	14277	f	0	1	Prodigal	002006
16	c_1	14281	14965	r	0	1	Prodigal	002006
17	c_1	15023	17612	r	0	1	Prodigal	002006
18	c_1	17738	18266	r	0	1	Prodigal	002006
19	c_1	18328	20386	r	0	1	Prodigal	002006
20	c_1	20453	22148	r	0	1	Prodigal	002006
21	c_1	22510	23860	r	0	1	Prodigal	002006
22	c_1	23936	25904	r	0	1	Prodigal	002006
23	c_1	26022	29103	r	0	1	Prodigal	002006
24	c_1	29118	30252	r	0	1	Prodigal	002006
25	c_1	30248	30845	r	0	1	Prodigal	002006
26	c_1	31719	32235	f	0	1	Prodigal	002006
27	c_1	32269	33085	r	0	1	Prodigal	002006
28	c_1	33174	34215	r	0	1	Prodigal	002006
29	c_1	34214	34874	r	0	1	Prodigal	002006
30	c_1	34873	35605	r	0	1	Prodigal	002006
31	c_1	35649	37767	r	0	1	Prodigal	002006
32	c_1	37898	38174	r	0	1	Prodigal	002006
33	c_1	38254	38881	r	0	1	Prodigal	002006
34	c_1	39184	40237	r	0	1	Prodigal	002006
35	c_1	40459	41173	f	0	1	Prodigal	002006
36	c_1	41243	42107	f	0	1	Prodigal	002006
37	c_1	42113	42968	r	0	1	Prodigal	002006
38	c_1	43010	43469	f	0	1	Prodigal	002006
39	c_1	43593	43755	r	0	1	Prodigal	002006
40	c_1	43739	44639	r	0	1	Prodigal	002006
41	c_1	44730	45690	f	0	1	Prodigal	002006
42	c_1	45668	46565	r	0	1	Prodigal	002006
43	c_1	46592	46682	r	0	1	Prodigal	002006
44	c_1	46874	47312	r	0	1	Prodigal	002006
45	c_1	47713	48901	f	0	1	Prodigal	002006
46	c_1	48993	49518	f	0	1	Prodigal	002006
47	c_1	49668	50853	f	0	1	Prodigal	002006
48	c_1	50934	52608	f	0	1	Prodigal	002006
49	c_1	52654	53398	f	0	1	Prodigal	002006
