gene_callers_id	source	accession	function	e_value
3	KOfam	K09807	uncharacterized protein	9.6e-53
3	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown	0.0
4	KOfam	K03387	NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]	1.2e-256
4	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers	0.0
5	KOfam	K24119	NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26]	2.4e-110
5	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers!!!Enzymes>>>1. Oxidoreductases>>>1.11  Acting on a peroxide as acceptor>>>1.11.1  Peroxidases>>>1.11.1.26  NADH-dependent peroxiredoxin	0.0
7	KOfam	K07568	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	8.1e-154
7	KEGG_BRITE	ko01000!!!ko03016	Enzymes>>>2. Transferases>>>2.4  Glycosyltransferases>>>2.4.99  Transferring other glycosyl groups>>>2.4.99.17  S-adenosylmethionine:tRNA ribosyltransferase-isomerase!!!Transfer RNA biogenesis>>>Prokaryotic type>>>tRNA modification factors>>>Other tRNA modification factors	0.0
8	KOfam	K00773	queuine tRNA-ribosyltransferase [EC:2.4.2.29]	3.7e-199
8	KEGG_BRITE	ko01000!!!ko03016	Enzymes>>>2. Transferases>>>2.4  Glycosyltransferases>>>2.4.2  Pentosyltransferases>>>2.4.2.29  tRNA-guanosine34 preQ1 transglycosylase!!!Transfer RNA biogenesis>>>Prokaryotic type>>>tRNA modification factors>>>Other tRNA modification factors	0.0
9	KOfam	K03210	preprotein translocase subunit YajC	4.3e-28
9	KEGG_BRITE	ko00001!!!ko00001!!!ko00001!!!ko02044	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09123 Folding, sorting and degradation>>>03060 Protein export [PATH:ko03060]!!!KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>03070 Bacterial secretion system [PATH:ko03070]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09145 Cellular community - prokaryotes>>>02024 Quorum sensing [PATH:ko02024]!!!Secretion system>>>Sec (secretion) system>>>Prokaryotic Sec-SRP core components	0.0
10	KOfam	K03072	preprotein translocase subunit SecD	4.8e-150
10	KEGG_BRITE	ko00001!!!ko00001!!!ko02044	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09123 Folding, sorting and degradation>>>03060 Protein export [PATH:ko03060]!!!KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>03070 Bacterial secretion system [PATH:ko03070]!!!Secretion system>>>Sec (secretion) system>>>Prokaryotic Sec-SRP core components	0.0
11	KOfam	K03074	preprotein translocase subunit SecF	7.7e-109
11	KEGG_BRITE	ko00001!!!ko00001!!!ko02044	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09123 Folding, sorting and degradation>>>03060 Protein export [PATH:ko03060]!!!KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>03070 Bacterial secretion system [PATH:ko03070]!!!Secretion system>>>Sec (secretion) system>>>Prokaryotic Sec-SRP core components	0.0
12	KOfam	K03972	phage shock protein E	3.6e-19
12	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99998 Others	0.0
13	KOfam	K05803	lipoprotein NlpI	1.8e-122
13	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09193 Unclassified: signaling and cellular processes>>>99992 Structural proteins	0.0
14	KOfam	K24845	2-(all-trans-polyprenyl)phenol 6-hydroxylase (prephenate) UbiV [EC:1.97.1.15]	6.8e-123
14	KEGG_Module	M00989	Ubiquinone biosynthesis, O2-independent, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	0.0
14	KEGG_Class	M00989	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
14	KEGG_BRITE	ko00001!!!ko01000!!!ko01002	KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]!!!Enzymes>>>1. Oxidoreductases>>>1.97  Other oxidoreductases>>>1.97.1  Sole sub-subclass for oxidoreductases that do not belong in the other subclasses>>>1.97.1.15  2-(all-trans-polyprenyl)phenol 6-hydroxylase (prephenate)!!!Peptidases and inhibitors>>>Peptidases of unknown catalytic type>>>Family U32	0.0
15	KOfam	K24844	2-(all-trans-polyprenyl)phenol 6-hydroxylase (prephenate) UbiU [EC:1.97.1.15]	1.4e-174
15	KEGG_Module	M00989	Ubiquinone biosynthesis, O2-independent, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	0.0
15	KEGG_Class	M00989	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
15	KEGG_BRITE	ko00001!!!ko01000!!!ko01002	KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]!!!Enzymes>>>1. Oxidoreductases>>>1.97  Other oxidoreductases>>>1.97.1  Sole sub-subclass for oxidoreductases that do not belong in the other subclasses>>>1.97.1.15  2-(all-trans-polyprenyl)phenol 6-hydroxylase (prephenate)!!!Peptidases and inhibitors>>>Peptidases of unknown catalytic type>>>Family U32	0.0
16	KOfam	K24843	2-(all-trans-polyprenyl)phenol 6-hydroxylase (prephenate) accessory factor UbiT	1.1e-59
16	KEGG_Module	M00989	Ubiquinone biosynthesis, O2-independent, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	0.0
16	KEGG_Class	M00989	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
16	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	0.0
18	KOfam	K02533	tRNA/rRNA methyltransferase [EC:2.1.1.-]	1.5e-94
18	KOfam	K15396	tRNA (cytidine32/uridine32-2'-O)-methyltransferase [EC:2.1.1.200]	1.4e-123
18	KEGG_BRITE	ko03016	Transfer RNA biogenesis>>>Prokaryotic type>>>tRNA modification factors>>>Methyltransferases	0.0
18	KEGG_BRITE	ko01000!!!ko03016	Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.1  Methyltransferases>>>2.1.1.200  tRNA (cytidine32/uridine32-2'-O)-methyltransferase!!!Transfer RNA biogenesis>>>Prokaryotic type>>>tRNA modification factors>>>Methyltransferases	0.0
19	KOfam	K13643	Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor	7.4e-77
19	KEGG_BRITE	ko03000	Transcription factors>>>Prokaryotic type>>>Helix-turn-helix>>>Rrf2 family	0.0
20	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	7.2e-191
20	KEGG_BRITE	ko00001!!!ko00001!!!ko01000!!!ko03016!!!ko03016!!!ko03029!!!ko02048	KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00730 Thiamine metabolism [PATH:ko00730]!!!KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09123 Folding, sorting and degradation>>>04122 Sulfur relay system [PATH:ko04122]!!!Enzymes>>>2. Transferases>>>2.8  Transferring sulfur-containing groups>>>2.8.1  Sulfurtransferases>>>2.8.1.7  cysteine desulfurase!!!Transfer RNA biogenesis>>>Eukaryotic type>>>tRNA modification factors>>>Thiolation factors!!!Transfer RNA biogenesis>>>Prokaryotic type>>>tRNA modification factors>>>Thiolation factors!!!Mitochondrial biogenesis>>>Mitochondrial quality control factors>>>Regulator of mitochondrial biogenesis>>>Proteins involved in Fe-S cluster biogenesis!!!Prokaryotic defense system>>>DNA phosphothiolation system>>>Sulfur modification proteins	0.0
21	KOfam	K04488	nitrogen fixation protein NifU and related proteins	2.7e-49
21	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99982 Energy metabolism	0.0
22	KOfam	K13628	iron-sulfur cluster assembly protein	4.3e-49
22	KEGG_BRITE	ko03016	Transfer RNA biogenesis>>>Prokaryotic type>>>tRNA modification factors>>>Thiolation factors	0.0
23	KOfam	K04082	molecular chaperone HscB	2.1e-47
23	KEGG_BRITE	ko03110!!!ko03029	Chaperones and folding catalysts>>>Heat shock proteins>>>HSP40 / DNAJ!!!Mitochondrial biogenesis>>>Mitochondrial quality control factors>>>Regulator of mitochondrial biogenesis>>>Proteins involved in Fe-S cluster biogenesis	0.0
24	KOfam	K04044	molecular chaperone HscA	1.7e-285
24	KEGG_BRITE	ko03110	Chaperones and folding catalysts>>>Heat shock proteins>>>HSP70 / DNAK	0.0
25	KOfam	K04755	ferredoxin, 2Fe-2S	2.8e-41
25	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09100 Metabolism>>>09111 Xenobiotics biodegradation and metabolism>>>00362 Benzoate degradation [PATH:ko00362]	0.0
26	KOfam	K07751	PepB aminopeptidase [EC:3.4.11.23]	9e-201
